set1_id,DataVizRoles_collapsed,JobTitle_cleaned__,YearsDataVizExperience_buckets,OrgSector_,OrgSector_Public,OrgSector_Private,OrgSector_Nonprofit,OrgSector_Academia,OrgSector_Other__,TimeWorked,TimeDataPrep,TimeDataAnalysis,TimeIdeating,TimeProducingViz,TimeManagingDataViz,TimeOtherVizTasks,OtherVizTasks__
WQOR,Employee,"Manager, Data and Products",11-15,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,None,5 hours or less,5 hours or less,More than 30 hours,None,[^not chosen]
RWeH,FreelanceAND,Data Visualization Designer,11-15,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],41–50 hours,5 hours or less,None,5 hours or less,5 hours or less,None,None,[^not chosen]
jVRP,Employee,Data Visualization Engineer,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,None,None,11–20 hours,6–10 hours,None,11–20 hours,[^not answered]
DvcF,Employee,Software Engineer,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,5 hours or less,None,6–10 hours,11–20 hours,5 hours or less,5 hours or less,[^not answered]
Grdj,Freelance,Content strategist,1-5,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],21–30 hours,None,None,5 hours or less,None,None,None,[^not chosen]
hPYR,Employee,Lead BI Developer,6-10,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],31–40 hours,5 hours or less,None,None,6–10 hours,5 hours or less,None,[^not chosen]
EUhv,Employee,Global head of graphics,16-20,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,None,None,6–10 hours,5 hours or less,More than 30 hours,[^not chosen],[^not chosen]
FEqi,Employee,Project evaluator,6-10,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],31–40 hours,None,None,None,None,None,None,[^not chosen]
opev,Freelance,Founder,6-10,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],41–50 hours,None,None,None,5 hours or less,None,None,[^not chosen]
mzIC,Employee,Senior Data Analyst,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],20 hours or less,5 hours or less,None,5 hours or less,5 hours or less,5 hours or less,[^not chosen],[^not chosen]
UNaX,Student,PhD Student,6-10,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],21–30 hours,5 hours or less,None,5 hours or less,6–10 hours,5 hours or less,None,[^not chosen]
WEzc,Employee,Scientist,1-5,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],31–40 hours,5 hours or less,None,None,5 hours or less,None,None,[^not chosen]
KfIZ,EmployeeANDFreelance,Consultant,6-10,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],20 hours or less,None,None,None,None,None,None,[^not chosen]
xXkm,Academic,Researcher,1-5,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],31–40 hours,None,None,5 hours or less,None,None,None,[^not chosen]
IPVs,Employee,"Consultant, Evaluation and Learning",6-10,4,x,x,x,[^not chosen],Charitable foundations,31–40 hours,None,None,None,None,5 hours or less,5 hours or less,Developing Gantt charts
njPd,Employee,"Manager, Data Science",11-15,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],51–60 hours,None,None,5 hours or less,5 hours or less,More than 30 hours,None,[^not chosen]
IaCf,Employee,Grant Operations Manager,11-15,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],41–50 hours,5 hours or less,None,5 hours or less,5 hours or less,None,5 hours or less,[^not answered]
BkmK,Employee,Design & Production Lead,6-10,4,x,x,x,x,[^not chosen],31–40 hours,None,None,5 hours or less,5 hours or less,5 hours or less,[^not chosen],[^not chosen]
auLO,EmployeeAND,Grants and Operations Coordinator,1-5,1,[^not chosen],[^not chosen],x,[^not chosen],[^not chosen],31–40 hours,None,None,None,5 hours or less,None,[^not chosen],[^not chosen]
FUTh,EmployeeAND,Principal Information Analyst,6-10,1,x,[^not chosen],[^not chosen],[^not chosen],[^not chosen],31–40 hours,None,None,6–10 hours,11–20 hours,None,None,[^not chosen]
FwRq,EmployeeAND,Visual Storyteller,Less than 1 year,2,[^not chosen],x,x,[^not chosen],[^not chosen],31–40 hours,None,None,6–10 hours,6–10 hours,5 hours or less,None,[^not chosen]
JlQS,Academic,Professor,1-5,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],31–40 hours,None,None,None,None,None,None,[^not chosen]
mffN,Employee,VP Design and UR,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],41–50 hours,6–10 hours,None,6–10 hours,5 hours or less,11–20 hours,5 hours or less,Prototyping data interactions and perceptions
adQp,Academic,Associate Professor,16-20,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],20 hours or less,None,None,None,None,None,5 hours or less,[^not answered]
wyEK,FreelanceAND,PhD Student,6-10,0,[\unasked],[\unasked],[\unasked],[\unasked],[\unasked],51–60 hours,None,None,6–10 hours,21–30 hours,6–10 hours,None,[^not chosen]
ihzN,EmployeeAND,Senior Data Visualization Engineer,1-5,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],21–30 hours,5 hours or less,None,6–10 hours,6–10 hours,11–20 hours,[^not chosen],[^not chosen]
swzk,Employee,Visual Communications Consultant,6-10,3,x,x,x,[^not chosen],[^not chosen],31–40 hours,None,None,5 hours or less,5 hours or less,5 hours or less,None,[^not chosen]
FrPx,Employee,Senior Design Engineer,6-10,1,[^not chosen],x,[^not chosen],[^not chosen],[^not chosen],31–40 hours,None,None,6–10 hours,6–10 hours,None,[^not chosen],[^not chosen]
